Phrase	IPA	SoundsLike	DisplayAs
leuyam			leuyam
borklipem			borklipem
angjera			angjera
esor			esor
besan			besan
unsfngp			unsfngp
aficte			aficte
ucquin			ucquin
dioimenu			dioimenu
windjanun			windjanun
potr			potr
gently			gently
njamanurad			njamanurad
aabiguity			aabiguity
therar			therar
dyim			dyim
lyams			lyams
stmbling			stmbling
gadburendjir			gadburendjir
thoro			thoro
ehimananswer			ehimananswer
njindja			njindja
feg			feg
tiergr			tiergr
heir			heir
nnga			nnga
burajwa			burajwa
peoouo			peoouo
diga			diga
windu			windu
teftoupq			teftoupq
woraridi			woraridi
hiself			hiself
wunumanban			wunumanban
nindonilunari			nindonilunari
han			han
rsin			rsin
anbiremirani			anbiremirani
enjil			enjil
irinanara			irinanara
njanjal			njanjal
anduruman			anduruman
helplessness			helplessness
shiik			shiik
anjidinan			anjidinan
saake			saake
awanbannari			awanbannari
creature			creature
ofes			ofes
burgumerinari			burgumerinari
ufoung			ufoung
teffu			teffu
ilawej			ilawej
ascumulas			ascumulas
therehis			therehis
ninao			ninao
hind			hind
wanmiri			wanmiri
ofpoq			ofpoq
elangananga			elangananga
gulinidjiri			gulinidjiri
qwsen			qwsen
penteun			penteun
njeinm			njeinm
cirenmcision			cirenmcision
iinx			iinx
sing			sing
ompo			ompo
circumcise			circumcise
biremenu			biremenu
tonmue			tonmue
namananga			namananga
steu			steu
tosc			tosc
brlonming			brlonming
tuodid			tuodid
blowing			blowing
umarerijali			umarerijali
cattle			cattle
repet			repet
escourt			escourt
niatured			niatured
yulunari			yulunari
krainbow			krainbow
sreared			sreared
anuma			anuma
wper			wper
key			key
orerthatoway			orerthatoway
mez			mez
nemou			nemou
talingi			talingi
neyibe			neyibe
jmaro			jmaro
dinduna			dinduna
shonss			shonss
meoninangn			meoninangn
amaladminiiari			amaladminiiari
discussion			discussion
mumindaneriwalu			mumindaneriwalu
burambambulidi			burambambulidi
itotoii			itotoii
manji			manji
wanjidninari			wanjidninari
anulungu			anulungu
njalnbana			njalnbana
bowtter			bowtter
anganda			anganda
budmoraniari			budmoraniari
eye			eye
bindijo			bindijo
unfp			unfp
babulga			babulga
whirl			whirl
gadjililu			gadjililu
gamburug			gamburug
placewhat			placewhat
tun			tun
barcmol			barcmol
oo			oo
bit			bit
bararabandi			bararabandi
nudjandali			nudjandali
iiti			iiti
njidjoluneri			njidjoluneri
bycrar			bycrar
quarter			quarter
udmara			udmara
iriwanja			iriwanja
bwha			bwha
missing			missing
jstof			jstof
theypaintedhim			theypaintedhim
inlaw			inlaw
ighthing			ighthing
njariwanganalu			njariwanganalu
bundumuna			bundumuna
munguwijiri			munguwijiri
rishthand			rishthand
npup			npup
toteinise			toteinise
sleezinc			sleezinc
aliju			aliju
oufe			oufe
sought			sought
niinon			niinon
sane			sane
saue			saue
malanangagu			malanangagu
bijaduju			bijaduju
laren			laren
trom			trom
peinanes			peinanes
aerowinmn			aerowinmn
lumnemapal			lumnemapal
waidina			waidina
rerrow			rerrow
pepueut			pepueut
drinkwithe			drinkwithe
wanduas			wanduas
litr			litr
whisper			whisper
narivenjalu			narivenjalu
joined			joined
wuruwo			wuruwo
helbaraj			helbaraj
mmatpt			mmatpt
idmindjal			idmindjal
widjin			widjin
bananga			bananga
werethor			werethor
wiremyey			wiremyey
godin			godin
nisth			nisth
anbirijamandanimija			anbirijamandanimija
mandjuna			mandjuna
spoke			spoke
ghat			ghat
biriwininarenga			biriwininarenga
aldji			aldji
postoge			postoge
nudi			nudi
wanjirwininari			wanjirwininari
vari			vari
tloe			tloe
recently			recently
irumanjindu			irumanjindu
bean			bean
softand			softand
birimarerinari			birimarerinari
dowandja			dowandja
dududj			dududj
galagi			galagi
hlast			hlast
wrtted			wrtted
recorder			recorder
fpfe			fpfe
alonghewasputtig			alonghewasputtig
neneku			neneku
wunguru			wunguru
nennala			nennala
cookced			cookced
alongso			alongso
njuwini			njuwini
rstane			rstane
bambarwa			bambarwa
mouldy			mouldy
njinangana			njinangana
supped			supped
waluva			waluva
dilawa			dilawa
wirijal			wirijal
aladjan			aladjan
chedl			chedl
rangaridj			rangaridj
rindninli			rindninli
djowuleia			djowuleia
eoverig			eoverig
ron			ron
hanged			hanged
ssed			ssed
shnaglg			shnaglg
gudaidj			gudaidj
wurwinjirijali			wurwinjirijali
mate			mate
bungana			bungana
punishes			punishes
mianjad			mianjad
njadmarenari			njadmarenari
trqtafet			trqtafet
unkovn			unkovn
caela			caela
akready			akready
iaths			iaths
tutfummtf			tutfummtf
enclosing			enclosing
tender			tender
writ			writ
irwiljani			irwiljani
fpugrex			fpugrex
baranu			baranu
renje			renje
pase			pase
njangerin			njangerin
gubadju			gubadju
ngabun			ngabun
phastantus			phastantus
naduran			naduran
summonses			summonses
rjnid			rjnid
erethen			erethen
sfunp			sfunp
budadmia			budadmia
ntout			ntout
belongd			belongd
bumhiis			bumhiis
djojna			djojna
limerabana			limerabana
indefinite			indefinite
